BGC,log(HighestMean_AllClasses),class_discriminitive,LDA_score,LEfSe_pvalue,manual_pvalue,NCBI refrence sequence acession number,Taxa Name,Phylum,smNRPS 
V1.CD18.0__NODE_6_length_258760_cov_82.7547__41143__resorcinol__ANTISMASH__86669_127812,3.993997054,-,-,-,0.41413428,NZ_JH724268,Bacteroides uniformis CL03T12C37,Bacteroidetes,
O2.UC26.0__NODE_79_length_109477_cov_2.7509__43175__nrps__ANTISMASH__4338_47513,2.803889313,-,-,-,0.010981673,NZ_LN999827,Clostridium sp. AT4,Firmicutes,
V1.UC40.0__NODE_388_length_49667_cov_3.91062__27174__arylpolyene__ANTISMASH__0_27174,3.092053067,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC60.0__NODE_5168_length_5891_cov_1.27707__5891__nrps__ANTISMASH__0_5891,3.866583529,-,-,-,0.277792774,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
V1.UC24.0__NODE_681_length_25720_cov_4.37886__25720__sactipeptide__ANTISMASH__0_25720,3.216278507,C,2.857815992,0.003472355,0.003472355,NZ_LT546007,Blautia sp. Marseille-P2398,Firmicutes,
O2.UC35.0__NODE_1425_length_18261_cov_1.33831__18261__arylpolyene__ANTISMASH__0_18261,3.237146999,-,-,-,0.103922706,NZ_CP012801,Bacteroides cellulosilyticus,Bacteroidetes,
O2.UC30.0__NODE_1245_length_17671_cov_2.03646__17671__other__ANTISMASH__0_17671,2.938996339,C,2.707663343,0.000464724,0.000464724,N/A,N/A,Unassigned,
O2.UC34.0__NODE_123_length_56194_cov_4.53738__20198__bacteriocin-proteusin__ANTISMASH__10755_30953,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD18.0__NODE_2491_length_8501_cov_2.16919__8501__arylpolyene-nrps__ANTISMASH__0_8501,1.809576288,-,-,-,0.347704122,N/A,N/A,Unassigned,
O2.UC4.2__NODE_2059_length_15857_cov_3.27876__12846__lantipeptide__ANTISMASH__3011_15857,1.821689219,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC12.2__NODE_1403_length_17624_cov_5.41402__15597__lantipeptide__ANTISMASH__2027_17624,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC31.4__NODE_3457_length_9939_cov_9.78936__9939__nrps__ANTISMASH__0_9939,3.144086942,C,2.74772373,0.00052449,0.00052449,N/A,N/A,Unassigned,
V1.UC52.1__NODE_216_length_76233_cov_8.06455__46165__nrps__ANTISMASH__16646_62811,3.84145311,-,-,-,0.328571627,NZ_EQ973356,Bacteroides sp. 2_2_4,Bacteroidetes,
O2.UC49.2__NODE_2620_length_9828_cov_1.60759__9828__sactipeptide__ANTISMASH__0_9828,1.844097152,-,-,-,0.586543543,NZ_MPDJ01000002,Eisenbergiella tayi,Firmicutes,
V1.CD21.0__NODE_1203_length_16973_cov_2.879__16973__nrps__ANTISMASH__0_16973,2.37025456,CD,2.87667819,0.008932809,0.008932809,N/A,N/A,Unassigned,
V1.UC26.0__NODE_46_length_120663_cov_2.61501__22730__lantipeptide__ANTISMASH__8497_31227,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC27.0__NODE_3490_length_8048_cov_1.35756__8048__bacteriocin__ANTISMASH__0_8048,3.117552858,-,-,-,0.42028932,NZ_CP014144,Streptococcus salivarius,Firmicutes,
V1.CD21.4__NODE_765_length_22253_cov_4.46495__22253__lantipeptide__ANTISMASH__0_22253,2.789905191,CD,2.526509136,0.000185138,0.000185138,NZ_CP030280,Blautia sp. N6H1-15,Firmicutes,
V1.UC27.0__NODE_345_length_39358_cov_2.65484__36794__nrps__ANTISMASH__0_36794,2.379272064,-,-,-,0.17089665,N/A,N/A,Unassigned,
O2.UC12.2__NODE_160_length_60804_cov_2.13803__22997__transatpks__ANTISMASH__37807_60804,1.519120363,-,-,-,0.340920066,N/A,N/A,Unassigned,
V1.CD27.0__NODE_2649_length_10270_cov_1.6928__10270__arylpolyene__ANTISMASH__0_10270,3.377555465,-,-,-,0.321355637,NZ_JH724294,Bacteroides xylanisolvens CL03T12C04,Bacteroidetes,
V1.UC55.4__NODE_4_length_453528_cov_8.44019__22700__lantipeptide__ANTISMASH__380667_403367,2.807201258,C,2.65271613,0.004068843,0.004068843,N/A,N/A,Unassigned,
V1.UC45.0__NODE_3282_length_7333_cov_2.75543__7333__lantipeptide__ANTISMASH__0_7333,2.492741452,-,-,-,0.603048748,N/A,N/A,Unassigned,
V1.CD7.0__NODE_1296_length_12802_cov_7.41359__12802__resorcinol__ANTISMASH__0_12802,3.967201728,-,-,-,0.776009157,NZ_KB905473,Bacteroides massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Bacteroidetes,
O2.UC17.2__NODE_4209_length_7910_cov_4.22164__7910__lantipeptide__ANTISMASH__0_7910,3.027614746,-,-,-,0.136937121,NZ_PRLF01000040,Faecalibacterium prausnitzii,Firmicutes,
V1.UC28.0__NODE_1031_length_22935_cov_2.40337__20348__lantipeptide__ANTISMASH__2587_22935,3.806110507,-,-,-,0.032484294,NZ_CZBP01000025,Blautia obeum,Firmicutes,
O2.UC21.2__NODE_2452_length_11089_cov_2.17428__11089__arylpolyene__ANTISMASH__0_11089,2.076108523,-,-,-,0.926582373,N/A,N/A,Unassigned,
V1.CD38.0__NODE_1485_length_22894_cov_6.94982__22894__lantipeptide__ANTISMASH__0_22894,2.561523785,-,-,-,0.340920066,NZ_NXMB01000005,Streptococcus salivarius,Firmicutes,
V1.CD25.4__NODE_241_length_82764_cov_14.1841__43296__nrps__ANTISMASH__13873_57169,3.808567215,-,-,-,0.083432601,NZ_CZBP01000011,Blautia obeum,Firmicutes,
V1.UC35.0__NODE_3761_length_8328_cov_3.02937__8328__nrps__ANTISMASH__0_8328,3.90522057,C,3.386741642,0.000681827,0.000681827,NZ_CYXM01000006,Eubacterium rectale,Firmicutes,
V1.CD18.3__NODE_78_length_114577_cov_12.9704__43190__nrps__ANTISMASH__49316_92506,3.437483215,CD,3.118655477,2.43E-14,2.43E-14,NZ_KQ235913,Clostridium clostridioforme WAL-7855,Firmicutes,smNRPS1
V1.UC4.0__NODE_990_length_18361_cov_2.56883__18361__nrps__ANTISMASH__0_18361,1.622950226,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.UC56.0__NODE_263_length_42781_cov_4.52212__22829__lantipeptide__ANTISMASH__5414_28243,1.007398884,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC16.0__NODE_189_length_45866_cov_5.01882__25422__nrps__ANTISMASH__20444_45866,2.678171898,-,-,-,0.056553659,N/A,N/A,Unassigned,
O2.UC38.0__NODE_1737_length_10512_cov_4.13742__10512__nrps__ANTISMASH__0_10512,3.894123731,-,-,-,0.142170748,NZ_ACII02000003,Ruminococcus sp. 5_1_39BFAA,Firmicutes,
V1.UC40.0__NODE_1422_length_20304_cov_4.52593__15088__bacteriocin__ANTISMASH__5216_20304,2.775687385,C,2.598129476,0.001827443,0.001827443,N/A,N/A,Unassigned,
V1.UC39.0__NODE_1500_length_20430_cov_2.82096__20430__nrps__ANTISMASH__0_20430,2.238625352,-,-,-,0.17089665,NZ_BAHW02000027,Clostridiales bacterium VE202-09,Firmicutes,
V1.UC55.0__NODE_645_length_52850_cov_6.31664__45787__nrps__ANTISMASH__7063_52850,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC24.2__NODE_172_length_69760_cov_6.1967__12422__bacteriocin__ANTISMASH__30117_42539,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC55.0__NODE_4056_length_11937_cov_2.38815__11937__nrps__ANTISMASH__0_11937,1.51036732,-,-,-,0.43932307,NZ_KI391947,Ruminococcaceae bacterium D16,Firmicutes,
V1.UC2.0__NODE_5480_length_5824_cov_1.41168__5824__lantipeptide__ANTISMASH__0_5824,2.004166724,-,-,-,0.065953933,NZ_JJMS01000030,Streptococcus salivarius,Firmicutes,
V1.UC31.4__NODE_1711_length_19262_cov_3.82678__19262__arylpolyene__ANTISMASH__0_19262,2.223956078,-,-,-,0.57788917,NZ_KQ968580,Sutterella sp. KLE1602,Proteobacteria,
V1.UC57.0__NODE_526_length_30686_cov_3.98273__27496__nrps__ANTISMASH__3190_30686,2.734791333,-,-,-,0.448085002,N/A,N/A,Unassigned,
V1.CD30.0__NODE_115_length_60362_cov_11.0903__34843__nrps__ANTISMASH__0_34843,2.447845574,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD36.0__NODE_839_length_38782_cov_4.06035__38782__arylpolyene__ANTISMASH__0_38782,2.839670868,-,-,-,0.150893812,NZ_GL636543,Sutterella wadsworthensis 3_1_45B,Proteobacteria,
V1.CD28.0__NODE_8_length_217992_cov_5.14966__13362__microcin__ANTISMASH__204630_217992,3.868111063,-,-,-,0.249968429,NZ_GG698602,Dialister invisus DSM 15470,Firmicutes,
V1.CD36.0__NODE_50_length_152134_cov_7.67276__43633__arylpolyene__ANTISMASH__54463_98096,2.21496053,-,-,-,0.877681585,N/A,N/A,Unassigned,
V1.CD34.0__NODE_116_length_88006_cov_11.3962__44178__nrps__ANTISMASH__0_44178,2.445412204,-,-,-,0.340920066,NZ_OLMR01000003,Anaeromassilibacillus sp. Marseille-P3876,Firmicutes,
V1.UC40.0__NODE_67_length_109100_cov_9.55918__39402__arylpolyene__ANTISMASH__0_39402,1.459225003,-,-,-,0.366936672,N/A,N/A,Unassigned,
V1.UC40.0__NODE_3696_length_8870_cov_4.36676__8870__nrps__ANTISMASH__0_8870,2.901924014,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC48.0__NODE_2643_length_14945_cov_8.99087__14945__arylpolyene__ANTISMASH__0_14945,4.577499123,CD,4.008819383,0.000733068,0.000733068,NZ_JH724283,Bacteroides vulgatus CL09T03C04,Bacteroidetes,
O2.UC56.0__NODE_3304_length_9281_cov_2.06148__9281__terpene__ANTISMASH__0_9281,2.477789113,-,-,-,0.498389768,N/A,N/A,Unassigned,
O2.UC46.0__NODE_463_length_35135_cov_10.4706__13471__lantipeptide__ANTISMASH__21664_35135,2.744192592,-,-,-,0.262718148,N/A,N/A,Unassigned,
V1.CD41.0__NODE_100_length_108541_cov_8.66845__100392__otherks-transatpks__ANTISMASH__0_100392,2.431249635,CD,2.619672954,0.008932809,0.008932809,N/A,N/A,Unassigned,
V1.CD10.0__NODE_139_length_45764_cov_2.38955__16622__bacteriocin__ANTISMASH__6137_22759,2.698527825,CD,2.45256724,0.008932809,0.008932809,NZ_NCXC01000005,Lactococcus lactis,Firmicutes,
O2.UC48.2__NODE_1779_length_15780_cov_4.06773__15780__lantipeptide__ANTISMASH__0_15780,2.927894415,-,-,-,0.223914402,N/A,N/A,Unassigned,
O2.UC37.2__NODE_244_length_72723_cov_4.06338__17653__lantipeptide__ANTISMASH__0_17653,1.748296867,-,-,-,0.268836049,N/A,N/A,Unassigned,
V1.CD6.4__NODE_127_length_71057_cov_8.47168__14799__lantipeptide__ANTISMASH__56258_71057,3.354088227,-,-,-,0.484658483,N/A,N/A,Unassigned,
V1.UC58.0__NODE_3069_length_11685_cov_4.12717__11685__arylpolyene__ANTISMASH__0_11685,1.544358493,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC34.0__NODE_1224_length_13288_cov_5.13617__13288__t1pks__ANTISMASH__0_13288,2.936705518,-,-,-,0.877681585,N/A,N/A,Unassigned,
V1.UC51.0__NODE_4693_length_7049_cov_2.7881__7049__terpene__ANTISMASH__0_7049,3.109629888,-,-,-,0.02518058,NZ_PJKV01000001,Akkermansia muciniphila,Verrucomicrobia,
V1.UC50.1__NODE_137_length_93009_cov_21.7606__41143__resorcinol__ANTISMASH__20103_61246,4.347869072,-,-,-,0.645272768,NZ_CBVI010000097,Bacteroides timonensis,Bacteroidetes,
V1.CD41.0__NODE_1572_length_24274_cov_4.60911__24274__nrps__ANTISMASH__0_24274,2.111084057,-,-,-,0.661108793,NZ_PPDA01000010,Veillonella sp. S13053-19,Firmicutes,
O2.UC40.0__NODE_5343_length_5908_cov_2.36785__5908__other__ANTISMASH__0_5908,2.536027688,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.CD10.0__NODE_47_length_96882_cov_2.3724__40183__ladderane__ANTISMASH__0_40183,2.70736169,CD,2.477655756,0.008932809,0.008932809,NZ_NCXC01000002,Lactococcus lactis,Firmicutes,
V1.CD10.0__NODE_22_length_166537_cov_7.06979__34609__bacteriocin-lantipeptide__ANTISMASH__62148_96757,3.485461685,-,-,-,0.778161897,NZ_CZBA01000009,Blautia obeum,Firmicutes,
V1.UC4.0__NODE_301_length_33586_cov_4.63201__24552__bacteriocin__ANTISMASH__9034_33586,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD41.0__NODE_43_length_139509_cov_97.9643__53525__nrps__ANTISMASH__80787_134312,3.575467141,CD,3.249382541,0.000178234,0.000178234,NZ_AYJZ01000014,Escherichia coli FAH1,Proteobacteria,
V1.CD22.0__NODE_341_length_64110_cov_3.2955__9681__bacteriocin__ANTISMASH__0_9681,2.103050401,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC26.4__NODE_804_length_42164_cov_6.1987__40347__nrps__ANTISMASH__0_40347,0,-,-,-,-,NZ_JVID01000066,Enterococcus faecalis,Firmicutes,
V1.UC52.0__NODE_396_length_45082_cov_11.8857__23700__bacteriocin__ANTISMASH__21382_45082,1.621275143,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC26.4__NODE_150_length_110805_cov_6.08781__41381__nrps__ANTISMASH__69424_110805,0,-,-,-,-,NZ_KQ961837,Peptostreptococcus anaerobius,Firmicutes,
O2.UC29.0__NODE_1252_length_15038_cov_5.20818__15038__other__ANTISMASH__0_15038,3.489445754,-,-,-,0.184640992,NZ_OEPZ01000003,Dorea sp. Marseille-P4003,Firmicutes,
V1.UC53.4__NODE_488_length_31560_cov_5.67386__28910__arylpolyene__ANTISMASH__2650_31560,0,-,-,-,-,N/A,N/A,Unassigned,
V1.CD22.0__NODE_785_length_38783_cov_122.936__21891__arylpolyene__ANTISMASH__0_21891,3.072525299,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC36.2__NODE_4401_length_5541_cov_3.42891__5541__lantipeptide__ANTISMASH__0_5541,4.200615179,-,-,-,0.042588489,NZ_AXVN01000148,Blautia wexlerae DSM 19850,Firmicutes,
V1.CD35.0__NODE_1628_length_7748_cov_5.81542__7748__lantipeptide__ANTISMASH__0_7748,2.051245893,-,-,-,0.011928313,NZ_KI669414,Ruminococcus gnavus CC55_001C,Firmicutes,
V1.UC1.0__NODE_1178_length_21947_cov_2.40837__21947__lantipeptide__ANTISMASH__0_21947,1.852454837,-,-,-,0.661108793,NZ_PYLQ01000020,Lachnoclostridium sp. SNUG30099,Firmicutes,
V1.UC49.1__NODE_286_length_82670_cov_6.11085__30936__lantipeptide__ANTISMASH__20279_51215,2.092990024,-,-,-,0.43932307,NZ_CP018937,Bacteroides fragilis,Bacteroidetes,
V1.UC13.3__NODE_1109_length_23662_cov_9.63892__10210__microcin__ANTISMASH__0_10210,3.318983451,-,-,-,0.463666805,NZ_LT996885,Dialister sp. Marseille-P5638,Firmicutes,
O2.UC18.2__NODE_323_length_46847_cov_2.24906__33267__bacteriocin__ANTISMASH__13580_46847,1.390309568,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC35.0__NODE_5232_length_6902_cov_1.50577__6902__nrps__ANTISMASH__0_6902,3.073599553,-,-,-,0.01536681,N/A,N/A,Unassigned,
V1.UC30.0__NODE_1030_length_22587_cov_1.50475__22587__lantipeptide__ANTISMASH__0_22587,1.722954127,-,-,-,0.68760722,N/A,N/A,Unassigned,
V1.UC50.1__NODE_286_length_63962_cov_28.7727__44154__arylpolyene__ANTISMASH__0_44154,2.308816204,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC24.2__NODE_2118_length_12087_cov_1.1358__12087__nrps__ANTISMASH__0_12087,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC31.0__NODE_991_length_22514_cov_2.45683__21107__bacteriocin__ANTISMASH__1407_22514,0.862480687,-,-,-,0.586543543,NZ_KV813675,Streptococcus sp. HMSC078D09,Firmicutes,
V1.CD29.0__NODE_795_length_29664_cov_6.14273__23708__nrps__ANTISMASH__0_23708,2.472863637,-,-,-,0.088119766,N/A,N/A,Unassigned,
V1.UC28.0__NODE_2_length_233573_cov_4.95209__30557__nrps__ANTISMASH__0_30557,3.162419729,C,2.877242259,0.008704721,0.008704721,NZ_CYYE01000002,Coprococcus eutactus,Firmicutes,
V1.UC9.0__NODE_2_length_137022_cov_1.97144__18483__lantipeptide__ANTISMASH__0_18483,3.163052756,-,-,-,0.43932307,N/A,N/A,Unassigned,
V1.UC53.4__NODE_127_length_60146_cov_3.19251__32237__nrps__ANTISMASH__27909_60146,2.540155722,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.UC4.5__NODE_1645_length_27262_cov_18.5874__27262__arylpolyene__ANTISMASH__0_27262,4.263869504,-,-,-,0.484658483,N/A,N/A,Unassigned,
O2.UC26.2__NODE_98_length_110703_cov_5.60755__10723__bacteriocin__ANTISMASH__99980_110703,0.939640362,-,-,-,0.065953933,NZ_LS483487,Fusobacterium ulcerans,Fusobacteria,
O2.UC50.0__NODE_528_length_35020_cov_1.46509__32862__lantipeptide__ANTISMASH__2158_35020,2.44939814,-,-,-,0.213827244,NZ_JH594596,Odoribacter laneus YIT 12061,Bacteroidetes,
V1.UC50.1__NODE_4278_length_9483_cov_2.95789__9483__nrps__ANTISMASH__0_9483,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC55.4__NODE_1865_length_27691_cov_7.17441__14919__lantipeptide__ANTISMASH__12772_27691,2.717769502,-,-,-,0.155172405,N/A,N/A,Unassigned,
V1.UC10.2__NODE_1834_length_16696_cov_6.92368__16696__lantipeptide__ANTISMASH__0_16696,3.094058558,-,-,-,0.022735666,N/A,N/A,Unassigned,
O2.UC46.2__NODE_4840_length_7300_cov_1.25783__7300__lantipeptide__ANTISMASH__0_7300,3.195389435,-,-,-,0.49397898,NZ_AXVN01000112,Blautia wexlerae DSM 19850,Firmicutes,
V1.CD17.4__NODE_4957_length_7396_cov_3.24956__7396__lantipeptide__ANTISMASH__0_7396,1.98586537,-,-,-,0.804562692,N/A,N/A,Unassigned,
O2.UC35.0__NODE_5102_length_7056_cov_1.13027__7056__bacteriocin__ANTISMASH__0_7056,2.900557264,-,-,-,0.627666487,NZ_LSIW01000060,Streptococcus sp. CCH5-D3,Firmicutes,
O2.UC44.0__NODE_15_length_182565_cov_4.22931__43532__arylpolyene__ANTISMASH__46462_89994,1.261781774,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC44.0__NODE_3842_length_8063_cov_1.44993__8063__resorcinol__ANTISMASH__0_8063,2.493650391,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC45.0__NODE_2925_length_8164_cov_3.38463__8164__nrps__ANTISMASH__0_8164,2.766612145,-,-,-,0.15488146,NZ_CYXR01000007,Coprococcus comes,Firmicutes,
V1.CD38.0__NODE_468_length_50392_cov_6.9943__50392__nrps__ANTISMASH__0_50392,2.772219081,-,-,-,0.213827244,NC_021039,Ruminococcus champanellensis (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13),Firmicutes,
V1.UC2.4__NODE_1038_length_16570_cov_2.70319__16570__lantipeptide__ANTISMASH__0_16570,3.751257802,-,-,-,0.078559879,NZ_CYZP01000002,Blautia obeum,Firmicutes,
O2.UC13.2__NODE_296_length_62893_cov_7.84734__20891__bacteriocin__ANTISMASH__42002_62893,3.267890193,-,-,-,0.109846143,N/A,N/A,Unassigned,
O2.UC26.0__NODE_209_length_70255_cov_3.85875__30443__lantipeptide__ANTISMASH__39812_70255,2.804909337,-,-,-,0.056553659,N/A,N/A,Unassigned,
V1.UC31.0__NODE_580_length_35518_cov_4.16474__32924__lantipeptide__ANTISMASH__2594_35518,2.819458305,-,-,-,0.017977281,NZ_LT629959,Tidjanibacter massiliensis,Bacteroidetes,
V1.UC55.4__NODE_8369_length_6083_cov_2.46251__6083__other__ANTISMASH__0_6083,3.069199103,-,-,-,0.030965475,NZ_CYYA01000016,Eubacterium ramulus,Firmicutes,
V1.UC30.0__NODE_1721_length_15433_cov_2.04207__15433__nrps__ANTISMASH__0_15433,2.967995243,C,2.772916375,0.004068843,0.004068843,N/A,N/A,Unassigned,
O2.UC26.2__NODE_140_length_90144_cov_5.01744__42430__other__ANTISMASH__19722_62152,3.154856575,-,-,-,0.320260264,NZ_JGEO01000047,Bacteroides fragilis str. S24L34,Bacteroidetes,
O2.UC37.2__NODE_786_length_35300_cov_5.98561__26046__other__ANTISMASH__0_26046,2.349991211,CD,2.614725627,0.005951111,0.005951111,NZ_CP016877,Streptococcus thermophilus,Firmicutes,
V1.UC14.1__NODE_395_length_46764_cov_7.24606__46764__nrps-t1pks__ANTISMASH__0_46764,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC55.0__NODE_306_length_77262_cov_5.08463__51526__nrps__ANTISMASH__25736_77262,2.000539848,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.UC4.5__NODE_4790_length_11143_cov_1.76524__11143__nrps__ANTISMASH__0_11143,0.329737812,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD22.0__NODE_1142_length_29553_cov_3.52492__29553__ladderane-nrps__ANTISMASH__0_29553,2.128420652,-,-,-,0.213827244,N/A,N/A,Unassigned,
O2.UC51.0__NODE_19_length_172368_cov_7.02516__24652__nrps__ANTISMASH__0_24652,3.374320984,C,3.06205381,0.002397524,0.002397524,NZ_CYXU01000001,Coprococcus eutactus,Firmicutes,
V1.UC16.0__NODE_1233_length_13017_cov_3.09158__13017__bacteriocin__ANTISMASH__0_13017,2.275981101,-,-,-,0.49921889,NZ_AUJF01000011,Blautia wexlerae AGR2146,Firmicutes,
V1.UC58.0__NODE_5035_length_7995_cov_2.85126__7995__nrps__ANTISMASH__0_7995,2.274192403,-,-,-,0.268836049,NZ_CYZD01000004,Blautia obeum,Firmicutes,
V1.CD41.0__NODE_109_length_105688_cov_4.31867__42571__other__ANTISMASH__20202_62773,1.900995108,-,-,-,0.065953933,N/A,N/A,Unassigned,
O2.UC5.0__NODE_1966_length_13195_cov_1.81233__13195__arylpolyene__ANTISMASH__0_13195,2.180838824,-,-,-,0.877681585,N/A,N/A,Unassigned,
O2.UC1.2__NODE_1958_length_15005_cov_1.59826__15005__arylpolyene__ANTISMASH__0_15005,2.377984369,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.CD20.4__NODE_3621_length_10460_cov_4.95877__10460__nrps__ANTISMASH__0_10460,3.106966767,-,-,-,0.887379661,N/A,N/A,Unassigned,
O2.UC51.2__NODE_6087_length_7538_cov_1.82547__7538__arylpolyene__ANTISMASH__0_7538,3.141473916,C,2.671661058,0.003546761,0.003546761,NC_015160,Odoribacter splanchnicus (strain ATCC 29572 / DSM 20712 / CIP 104287 / JCM 15291 / NCTC 10825 / 1651/6) (Bacteroides splanchnicus),Bacteroidetes,
O2.UC16.2__NODE_202_length_38619_cov_3.95963__33918__nrps__ANTISMASH__0_33918,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC57.0__NODE_265_length_41682_cov_3.26171__21764__amglyccycl__ANTISMASH__4814_26578,2.048494508,-,-,-,0.43932307,N/A,N/A,Unassigned,
O2.UC5.2__NODE_1475_length_13677_cov_2.00103__13677__lantipeptide__ANTISMASH__0_13677,0,-,-,-,-,N/A,N/A,Unassigned,
O2.UC56.0__NODE_381_length_54263_cov_8.8974__37224__nrps__ANTISMASH__0_37224,2.710665332,-,-,-,0.840491014,N/A,N/A,Unassigned,
O2.UC51.2__NODE_137_length_100686_cov_22.0268__18231__bacteriocin__ANTISMASH__82455_100686,4.051538189,C,3.713405431,5.26E-06,5.26E-06,NZ_NNBY01000045,Ruminococcus bromii,Firmicutes,
V1.UC39.0__NODE_8_length_168187_cov_4.12498__52608__nrps__ANTISMASH__46266_98874,2.124284517,-,-,-,0.906620205,NZ_NOXF01000001,Clostridium leptum DSM 753,Firmicutes,
V1.UC35.0__NODE_3750_length_8343_cov_4.01617__8343__nrps__ANTISMASH__0_8343,3.179896488,C,2.684402409,0.00226203,0.00226203,NZ_CYZD01000004,Blautia obeum,Firmicutes,
O2.UC57.0__NODE_680_length_25878_cov_3.12582__23488__nrps__ANTISMASH__2390_25878,2.809111544,-,-,-,0.136937121,N/A,N/A,Unassigned,
V1.UC17.2__NODE_5413_length_5766_cov_2.00543__5766__other__ANTISMASH__0_5766,2.293375978,-,-,-,0.340920066,N/A,N/A,Unassigned,
O2.UC1.2__NODE_2735_length_11824_cov_7.70023__11824__microcin__ANTISMASH__0_11824,3.963401462,C,3.636413934,0.000236067,0.000236067,NZ_DS499550,Eubacterium siraeum DSM 15702,Firmicutes,
V1.UC5.3__NODE_9784_length_5328_cov_2.80713__5328__nrps__ANTISMASH__0_5328,2.26532896,-,-,-,0.336171267,N/A,N/A,Unassigned,
O2.UC52.0__NODE_1080_length_18444_cov_4.11382__18444__terpene__ANTISMASH__0_18444,2.425769731,-,-,-,0.136937121,N/A,N/A,Unassigned,
O2.UC43.0__NODE_116_length_51678_cov_5.91577__42434__arylpolyene__ANTISMASH__0_42434,2.421784219,-,-,-,0.586543543,N/A,N/A,Unassigned,
V1.UC26.0__NODE_1448_length_19030_cov_4.60211__10274__microcin__ANTISMASH__8756_19030,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC17.2__NODE_5797_length_5378_cov_5.92899__5378__arylpolyene__ANTISMASH__0_5378,2.22025408,-,-,-,0.268836049,NZ_LT985750,Alistipes sp. Marseille-P5061,Bacteroidetes,
V1.UC5.0__NODE_2999_length_8272_cov_2.30449__8272__bacteriocin__ANTISMASH__0_8272,2.804796624,CD,2.668453158,0.001282594,0.001282594,NZ_KE698982,Escherichia coli HVH 19 (4-7154984),Proteobacteria,
O2.UC43.2__NODE_27_length_85697_cov_3.82589__32927__lantipeptide__ANTISMASH__52770_85697,3.320796288,-,-,-,0.450848935,NZ_CYXV01000003,Roseburia faecis,Firmicutes,
V1.UC52.1__NODE_2567_length_16180_cov_2.65501__6750__bacteriocin__ANTISMASH__9430_16180,0.892634519,-,-,-,0.586543543,N/A,N/A,Unassigned,
O2.UC26.2__NODE_1304_length_14837_cov_14.8686__14837__lantipeptide__ANTISMASH__0_14837,0,-,-,-,-,N/A,N/A,Unassigned,
V1.UC2.0__NODE_4539_length_6887_cov_1.22834__6887__nrps__ANTISMASH__0_6887,3.700855188,-,-,-,0.275148723,NZ_LT546010,Blautia sp. Marseille-P2398,Firmicutes,
O2.UC52.0__NODE_1306_length_15598_cov_2.44747__15598__other__ANTISMASH__0_15598,2.2851062,-,-,-,0.213827244,N/A,N/A,Unassigned,
V1.CD29.0__NODE_2360_length_13418_cov_1.62261__13418__lantipeptide__ANTISMASH__0_13418,3.708853889,-,-,-,0.028215243,NZ_CZBP01000025,Blautia obeum,Firmicutes,
V1.UC5.0__NODE_4898_length_5745_cov_1.11582__5745__other__ANTISMASH__0_5745,0,-,-,-,-,NZ_KQ235751,Fusobacterium gonidiaformans ATCC 25563,Fusobacteria,
V1.CD20.4__NODE_2398_length_16240_cov_5.73889__16240__nrps__ANTISMASH__0_16240,2.278192018,-,-,-,0.710307032,N/A,N/A,Unassigned,
V1.CD21.0__NODE_34_length_164572_cov_33.7006__30154__lantipeptide__ANTISMASH__80218_110372,3.479544904,-,-,-,0.010260846,NZ_PDCW01000022,Bacteroides fragilis,Bacteroidetes,
V1.UC11.0__NODE_199_length_53706_cov_23.1665__48348__nrps__ANTISMASH__0_48348,3.388902678,-,-,-,0.599392505,NZ_JH594448,Eubacterium sp. 3_1_31,Firmicutes,
